user_id,tenure_days,num_trades_30d,avg_trade_size,deposit_30d,withdrawal_30d,account_balance,num_support_tickets,is_verified,account_type,country,churn
U100000,84,8,441.49,170.0,76.42,637.61,0.0,0,premium,ZA,0
U100001,541,6,380.5,136.81,282.34,1673.65,2.0,1,standard,ID,0
U100002,237,8,307.3,930.03,181.38,619.42,1.0,1,standard,ID,0
U100003,164,9,618.19,1061.02,1711.33,3115.41,0.0,1,standard,ZA,1
U100004,30,7,445.18,192.35,1300.39,1679.42,,1,standard,Other,0
U100005,30,8,66.26,850.94,67.59,1463.99,,1,premium,Other,0
U100006,10,6,186.57,60.63,7.67,4551.7,1.0,1,standard,ID,1
U100007,362,7,104.11,260.8,48.75,146.64,0.0,1,standard,AE,0
U100008,165,10,395.77,87.04,11.84,1972.42,0.0,1,standard,IN,0
U100009,221,9,34.69,1613.55,327.24,1379.26,1.0,0,standard,IN,0
U100010,3,9,516.04,953.36,573.4,1158.66,3.0,1,premium,IN,0
U100011,630,2,153.32,42.15,49.24,643.88,1.0,1,standard,ZA,0
U100012,321,6,292.02,147.54,531.88,1377.69,0.0,0,standard,PH,0
U100013,42,9,452.16,268.23,28.43,1426.5,2.0,1,premium,IN,0
U100014,36,4,291.36,325.41,516.06,2026.64,1.0,1,vip,PH,0
U100015,36,13,88.92,77.81,62.98,1448.14,1.0,1,standard,ZA,0
U100016,65,8,465.09,643.57,202.34,2730.82,4.0,1,standard,IN,0
U100017,133,11,295.24,848.72,418.0,1035.18,1.0,0,standard,ZA,0
U100018,101,6,340.62,466.89,123.05,4572.02,0.0,1,standard,PH,0
U100019,61,8,73.97,438.67,24.55,1232.22,1.0,1,premium,ID,1
U100020,170,7,521.48,170.73,1090.49,713.92,1.0,1,standard,IN,1
U100021,27,11,177.46,254.63,834.03,721.08,1.0,1,standard,AE,0
U100022,62,8,11.9,419.58,320.06,109.58,0.0,1,premium,AE,0
U100023,82,11,378.75,460.1,581.05,1982.96,0.0,1,standard,Other,0
U100024,109,2,102.22,347.23,356.15,1540.03,0.0,1,premium,IN,0
U100025,276,5,189.2,788.98,26.59,1940.49,0.0,1,standard,ZA,0
U100026,40,5,180.4,545.5,12.96,266.12,0.0,1,standard,Other,0
U100027,129,6,167.96,858.48,81.4,3565.25,1.0,0,standard,PH,0
U100028,161,12,97.8,384.71,212.04,2099.9,2.0,1,standard,AE,0
U100029,8,5,375.41,382.49,224.89,453.65,0.0,1,standard,PH,1
U100030,168,7,403.02,731.25,143.33,338.3,1.0,1,standard,ZA,0
U100031,33,7,213.46,121.4,48.31,880.73,0.0,1,standard,IN,0
U100032,12,13,218.89,2337.74,258.6,2970.99,1.0,1,standard,ZA,0
U100033,535,9,366.62,170.02,63.16,3374.59,1.0,1,standard,PH,0
U100034,606,8,205.94,150.78,193.26,1925.67,1.0,1,premium,IN,0
U100035,297,8,534.75,820.26,58.97,752.52,,1,standard,Other,0
U100036,65,4,247.73,576.44,115.29,568.14,2.0,0,premium,AE,0
U100037,18,10,719.28,651.14,1562.86,1245.68,1.0,1,vip,ID,1
U100038,207,13,150.17,393.45,454.88,724.95,1.0,1,premium,AE,0
U100039,104,6,258.58,128.89,29.16,2902.26,1.0,1,premium,ZA,0
U100040,23,9,125.52,1253.59,851.19,,0.0,1,standard,AE,0
U100041,123,9,411.05,792.91,350.96,831.93,2.0,1,standard,IN,0
U100042,6,9,165.54,195.0,133.07,135.49,,1,standard,AE,0
U100043,432,3,248.93,738.0,160.77,607.04,0.0,0,standard,PH,0
U100044,53,8,651.82,212.61,258.78,1231.74,1.0,1,standard,AE,0
U100045,195,9,205.29,244.97,839.17,1063.09,1.0,0,standard,ZA,1
U100046,67,7,246.61,264.63,315.76,362.54,2.0,1,standard,ZA,0
U100047,132,6,300.55,177.28,80.17,2345.09,2.0,1,premium,AE,0
U100048,142,4,86.47,386.85,132.31,1033.47,1.0,1,standard,ID,0
U100049,36,16,313.06,798.04,82.61,896.35,0.0,1,standard,ID,0
U100050,628,11,319.12,527.39,267.6,2063.94,1.0,1,standard,ID,0
U100051,268,9,248.7,646.54,343.11,1290.15,0.0,1,standard,Other,0
U100052,504,7,413.25,448.57,346.8,1366.12,1.0,0,premium,AE,0
U100053,405,13,90.87,25.74,640.22,1756.8,0.0,1,standard,PH,0
U100054,163,4,145.51,1872.01,328.24,2989.88,0.0,1,standard,Other,0
U100055,458,10,112.0,911.56,43.99,2133.07,2.0,1,premium,AE,0
U100056,16,8,234.05,469.17,670.91,462.01,1.0,1,standard,ZA,0
U100057,39,8,308.21,110.57,163.62,6143.36,1.0,1,premium,ZA,0
U100058,8,5,115.77,625.88,188.92,1303.92,0.0,1,standard,ID,0
U100059,70,9,571.93,360.04,123.31,89.74,1.0,1,standard,ID,0
U100060,88,5,143.56,427.95,68.89,651.27,0.0,0,standard,IN,0
U100061,56,6,359.19,784.37,76.66,645.71,0.0,1,premium,ZA,0
U100062,317,8,85.66,506.93,474.25,3096.23,0.0,1,premium,IN,0
U100063,79,5,268.6,1055.08,211.43,1517.81,1.0,1,premium,ID,0
U100064,59,13,617.58,235.01,128.15,1438.8,0.0,1,standard,Other,0
U100065,140,11,291.6,56.19,651.47,1571.43,0.0,1,premium,AE,0
U100066,27,9,277.25,345.84,328.58,1958.09,0.0,1,standard,ID,0
U100067,291,6,482.64,242.29,146.82,1854.49,1.0,1,standard,ID,0
U100068,13,9,,558.01,721.6,612.3,0.0,1,standard,IN,0
U100069,780,9,196.51,150.41,594.8,3696.04,0.0,1,premium,ID,0
U100070,266,3,317.01,235.28,129.33,237.59,0.0,1,standard,AE,0
U100071,39,7,135.6,576.68,94.19,3209.45,0.0,1,premium,ID,0
U100072,1,8,50.61,286.28,373.56,226.32,2.0,0,premium,ID,1
U100073,304,8,200.29,833.05,120.07,683.62,0.0,1,standard,ID,0
U100074,220,7,170.54,153.81,214.85,1360.5,0.0,1,standard,AE,0
U100075,235,6,666.08,101.29,173.11,,0.0,1,premium,AE,0
U100076,265,5,338.65,632.57,222.61,581.83,1.0,1,standard,ZA,0
U100077,13,10,462.67,82.19,776.6,1948.33,1.0,0,standard,AE,1
U100078,79,5,173.47,34.3,217.96,996.41,1.0,1,standard,IN,0
U100079,22,8,592.74,99.14,419.11,2223.55,1.0,1,standard,PH,0
U100080,357,8,282.07,884.21,234.85,784.76,0.0,1,standard,AE,0
U100081,175,8,279.41,200.83,212.01,715.38,1.0,1,premium,ID,0
U100082,72,6,181.98,248.75,48.45,1531.8,2.0,1,standard,ZA,0
U100083,11,8,461.09,671.24,12.17,2506.1,0.0,1,standard,AE,0
U100084,67,7,185.51,785.3,75.88,2281.99,1.0,0,standard,IN,0
U100085,70,10,,684.66,5.79,369.03,0.0,1,standard,ID,0
U100086,235,7,169.78,631.09,81.32,1248.56,0.0,1,premium,IN,0
